loop#,ALPHA[AXIS_X_R_RP:0.1],EPSILON[AXIS_X_R_RP:0.1],GAMMA[AXIS_X_R_RP:0.1],N_PARTICLES[AXIS_X_R_RP:0.1],ALPHA[AXIS_X_R_RP:0.4],EPSILON[AXIS_X_R_RP:0.4],GAMMA[AXIS_X_R_RP:0.4],N_PARTICLES[AXIS_X_R_RP:0.4]
01,-7.6388,1.09304e-05,47.4696,100000,-29.1395,9.35633e-06,77.5122,100000
2,-1.5892,1.01913e-05,6.26326,100000,-7.47595,9.50715e-06,21.7756,100002
3,-2.0389,8.70256e-06,9.32614,100000,-10.2954,2.18367e-05,40.1631,100000
4,-3.35552,8.44206e-06,19.0727,100000,-17.4399,1.92888e-05,65.4377,100000
5,-3.73625,8.59621e-06,22.3862,100000,-28.6273,1.13823e-05,102.621,100000
6,-3.88886,8.57043e-06,23.4754,100000,-32.2938,9.68398e-06,113.643,100000
7,-3.93917,8.52093e-06,23.7027,100000,-32.53,9.3964e-06,113.87,100000
8,-3.94796,8.49079e-06,23.6639,100000,-32.1425,9.42011e-06,112.462,100000
9,-3.94428,8.47816e-06,23.5835,100002,-31.7973,9.49371e-06,111.328,100000
10,-3.93965,8.47357e-06,23.528,100000,-31.6052,9.54624e-06,110.723,100000
11,-3.93654,8.4729e-06,23.4986,100000,-31.5233,9.57265e-06,110.475,100000
12,-3.93503,8.47317e-06,23.4864,100000,-31.4968,9.58301e-06,110.4,100000
13,-3.93441,8.47358e-06,23.4823,100000,-31.4923,9.58589e-06,110.39,100000
14,-3.93422,8.4739e-06,23.4817,100000,-31.4929,9.5865e-06,110.393,100000
15,-3.93422,8.47391e-06,23.4819,100000,-31.4959,9.58578e-06,110.404,100000
16,-3.93425,8.47395e-06,23.4823,100000,-31.4971,9.58553e-06,110.408,100000
17,-3.93425,8.47398e-06,23.4823,100002,-31.4979,9.58526e-06,110.41,100000
18,-3.93425,8.47398e-06,23.4823,100000,-31.4977,9.58529e-06,110.409,100000
19,-3.93422,8.47401e-06,23.4821,100000,-31.4987,9.58498e-06,110.413,100000
20,-3.93425,8.47397e-06,23.4823,100000,-31.4982,9.58514e-06,110.411,100000
21,-3.93426,8.47398e-06,23.4824,100000,-31.4982,9.58515e-06,110.411,100000
22,-3.93425,8.47398e-06,23.4824,100000,-31.4983,9.58512e-06,110.411,100000
23,-3.93428,8.47397e-06,23.4826,100000,-31.4983,9.58517e-06,110.411,100000
24,-3.93425,8.47402e-06,23.4824,100000,-31.4985,9.58507e-06,110.412,100000
25,-3.9342,8.47404e-06,23.482,100000,-31.4988,9.58492e-06,110.413,100000
26,-3.93423,8.47398e-06,23.4822,100000,-31.4979,9.58524e-06,110.41,100000
27,-3.93425,8.47398e-06,23.4824,100000,-31.498,9.58524e-06,110.41,100000
28,-3.93424,8.47399e-06,23.4823,100000,-31.4985,9.58506e-06,110.412,100000
29,-3.93425,8.47401e-06,23.4824,100000,-31.4985,9.58509e-06,110.412,100000
30,-3.93422,8.47402e-06,23.4822,100000,-31.498,9.58518e-06,110.41,100000
31,-3.93422,8.47403e-06,23.4822,100000,-31.4983,9.58515e-06,110.411,100000
32,-3.93422,8.47402e-06,23.4822,100000,-31.4981,9.58517e-06,110.411,100000
33,-3.93422,8.47406e-06,23.4823,100000,-31.498,9.58524e-06,110.41,100000
34,-3.93424,8.47401e-06,23.4823,100000,-31.4983,9.58514e-06,110.411,100000
35,-3.93424,8.47402e-06,23.4823,100000,-31.4976,9.58564e-06,110.409,100002
36,-3.93422,8.47403e-06,23.4821,100000,-31.4983,9.58511e-06,110.411,100000
37,-3.93425,8.47399e-06,23.4824,100000,-31.4987,9.58502e-06,110.413,100000
38,-3.9342,8.47405e-06,23.482,100000,-31.4985,9.58504e-06,110.412,100000
39,-3.93423,8.47402e-06,23.4823,100000,-31.4981,9.58521e-06,110.411,100000
40,-3.9342,8.47404e-06,23.4821,100000,-31.4975,9.58534e-06,110.409,100000
41,-3.9342,8.47406e-06,23.4821,100000,-31.4981,9.5852e-06,110.411,100000
42,-3.93421,8.47405e-06,23.4822,100000,-31.4982,9.58517e-06,110.411,100000
43,-3.93424,8.474e-06,23.4823,100000,-31.4983,9.58514e-06,110.411,100000
44,-3.9342,8.47407e-06,23.4821,100000,-31.498,9.5852e-06,110.41,100000
45,-3.93423,8.47401e-06,23.4823,100000,-31.4983,9.58513e-06,110.412,100000
